0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-7.680345,-2.3628118,-2.142019,-0.2766848,-0.37925673,4.6165285,-0.20727874,13.038885,0.14784852,-6.836213,-3.7072525,0.022623206,-0.7628681,1.7488735,-1.6588737,-2.569091,-1.4850628,-0.42833498,-1.3987398,0.061665308,0.072402574,2.7163322,-0.25268307,-1.3845726,-1.0076925,1.8867127,-0.43229747,-0.6251702,0.7633556,0.99886674
-8.045046,-1.5204374,-2.8378623,-0.66751975,-0.43227738,5.05807,-0.20845301,12.485778,0.34136215,-1.4972336,-1.7620591,-0.26541838,-0.07492609,0.93499744,-0.10355974,-2.40159,1.0249116,-0.27310067,0.023099016,1.4235026,0.46855995,0.8838832,-0.7194841,-0.5764037,0.6471405,0.46119487,0.80941504,-0.5225542,-1.3300995,1.5008125
-6.088225,-1.7796816,-1.4849606,0.19654784,-0.40217152,0.85037845,0.11899672,11.38381,-0.20736288,-6.326155,-4.2069564,0.2505845,-0.64150715,2.347889,-0.45847028,-0.13124056,-1.4674076,-0.4055019,-2.0856993,0.72271496,0.0103653455,-0.99213076,-0.3946344,0.08820737,-0.2573686,0.35334447,-0.5269021,-0.30066153,-1.262026,0.61060953
-6.656291,-1.7936069,-1.0723345,-0.8629269,0.55675024,5.259393,-0.4813048,15.069079,-0.13240616,-7.739239,-4.8866067,0.052425068,-2.2931862,3.2819786,-0.20854962,0.7167373,-2.451399,0.011130297,-2.35625,-0.4287072,0.19945331,0.77382785,0.34306428,-0.9449887,0.74988353,-0.29246086,-0.29197213,-0.94929993,-1.151613,0.8824234
-3.950592,-0.8820078,0.36795583,-0.2123999,1.2627028,3.9773543,1.0384915,13.518569,0.36259508,-8.667729,-7.465439,-0.76328593,-2.4281476,3.152122,1.9978063,6.271001,-6.2112775,-0.16438355,-1.7785408,-0.0010118292,-3.0517802,0.8938177,1.1390126,-1.9248798,0.55822307,-0.9660122,-0.005256104,0.24520795,-1.1204273,-2.2708194
-4.779649,-0.87241083,0.3550785,-1.2099031,0.57163614,3.008773,-0.50708777,14.816148,-0.069448784,-10.518696,-6.3134027,1.5165831,-4.3221684,3.7193165,2.2912228,7.344799,-7.4738727,0.9645842,-1.5380104,0.07473666,-2.050311,1.9601536,2.07301,-0.35662264,1.5829694,-1.4570166,-1.7736522,1.8481462,-0.9150012,-2.150259
-6.254248,-1.7990013,-0.1534894,-1.4475629,-0.09196717,6.7323427,-0.320465,17.320065,-0.061411656,-7.5278883,-6.0830874,0.22179367,-2.4691427,2.4894183,-0.12352634,1.1660818,-3.7814121,1.1993576,-1.9168967,-0.13183701,-1.2835227,0.52413386,0.7634319,-2.3258681,-1.2719592,-0.48457003,-0.41879487,-0.7887316,0.26710045,-0.1837208
-7.567689,-2.3635798,0.33119,-1.1236265,-0.2821312,6.675479,-0.9268562,16.46164,-0.41511324,-6.7443233,-5.111691,0.27545154,-1.400324,2.226177,-0.55094147,1.5753276,-1.8332934,0.9104777,-1.8131608,-0.40259853,-1.0104297,1.839152,0.3902712,0.4772541,-1.4695269,-0.07105779,-1.077748,0.10189603,0.23270078,0.42861095
-6.2957177,-2.3358743,-0.18439312,-1.2898483,-0.30392477,8.347744,-0.6201337,18.730474,0.105656736,-9.12532,-5.872311,0.94032,-1.4024099,3.0858626,-1.051869,1.6961582,-3.151741,0.30094332,-2.681958,-0.20282821,-0.6778699,-1.2826668,-0.07252942,-0.7124124,-0.6647684,0.15428461,1.0197753,0.26484463,-0.29375038,0.913348
-5.374787,-1.5725623,-0.6842389,-1.0787368,0.121912204,7.1307387,-0.19837289,19.313234,-0.31190914,-10.532885,-5.737931,1.4446894,-2.9862936,4.608118,-1.0884864,1.9395348,-4.2274733,1.2754719,-4.4744515,0.46926507,-0.22534876,1.003766,-1.4534532,-1.5965092,-1.9547912,-1.2380059,-0.11512293,0.16597882,-1.0770775,1.474808
-5.197312,-1.4841727,1.3321791,-1.7098304,-0.5209663,6.031179,-0.1664947,14.606896,-0.6183536,-7.612899,-4.916543,1.0201181,-1.3743684,2.7548354,-1.0422274,4.0184073,-4.260397,-0.33993322,-1.2540066,0.38489017,-1.0431987,0.05990267,0.2825295,-1.0265284,-0.2811641,-0.8232785,-0.82788867,1.2746817,0.49097216,-1.1940591
