0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-3.1703174,-2.0039062,0.38767523,-1.601128,-2.5032535,0.44768786,1.9012239,4.2283278,-0.2813782,-0.26936105,4.453265,1.7294534,2.3646874,0.19393875,14.406965,-4.8250127,5.3915925,0.005767763,0.26303828,-0.14569381,1.4375883,-0.014429472,0.5484866,-1.5246152,-1.6513882,3.1263058,-0.066252716,1.0005333,-0.8448781,-1.1931369
-5.5002017,33.46593,-2.0876713,-0.19443025,0.6084502,-0.5472127,-1.6270411,-4.088903,-0.09855254,1.2368683,-1.8063384,-0.31475377,-0.2886728,-1.0146811,-2.951291,-14.051487,1.7895954,-0.41729817,2.1015527,1.6170846,-1.1436464,0.21508865,1.8562038,-2.1123903,1.95785,-0.03634504,-2.1478486,2.3115363,-0.3095828,-2.60854
30.783386,0.05343164,2.903666,-1.7227365,-0.094256945,4.4723444,0.48981458,1.3525604,14.102449,13.049405,0.33963057,0.9289928,-3.1249392,-7.5830755,0.19819374,0.5388895,-0.5719405,2.991873,4.972702,-3.119991,-0.517112,-1.3153563,1.5467293,1.4713748,2.5144362,1.3547332,-2.1680756,-1.7983062,0.54353803,1.9104128
-5.0972366,32.30044,-1.2001201,0.41956437,1.371264,-0.4164784,-0.5012054,-2.840508,0.07589773,-1.0689799,-2.2791667,0.76137483,-1.4714733,-0.88457423,-4.7321067,-21.640207,-1.1319411,1.0994709,0.7415856,1.6383935,-1.2036167,-0.40467125,-0.8262733,1.9766673,0.6247657,0.4389966,1.0355134,-0.1765231,-1.9443305,1.3288857
-4.395995,27.923452,-2.435004,-0.38898823,0.33906555,-0.7924189,-1.314905,-2.4528542,1.3623703,-0.20244838,-1.5181316,-1.7830274,-0.64789516,-0.75770605,-1.3231838,-1.6679074,1.0754372,-2.5260165,2.2487872,-0.34846184,1.7241225,0.73002785,0.19939226,-1.4721276,2.2812417,-0.95602936,-1.9386463,2.9076788,-0.26173,-1.9349486
-4.08945,-2.13673,-3.870895,-1.5680166,-5.914527,-0.358149,-0.22112536,-0.93553907,0.29843467,-0.05067761,-0.5603047,-2.3415194,-1.0761359,0.43560746,-2.0418706,-0.52829546,1.4026047,-0.76544034,2.4552596,2.7816365,0.6585642,-1.7357535,1.0752378,-0.663714,2.7630978,-0.47629794,0.23631203,3.0467196,-3.2255466,0.37383258
33.07318,0.10724423,-9.053407,5.1769524,1.2116628,-0.12556352,-0.3283065,1.613206,-6.6377406,-1.7385331,-0.6450822,-0.42333704,-0.85323167,-12.752231,1.2146199,-0.22040853,-1.6607599,3.238933,0.68408376,0.89603037,-0.47058403,1.6508944,1.0870522,-2.173125,-2.206535,-1.2683293,-4.2277303,-2.2969697,-0.24871506,1.9225924
-5.966246,33.81525,-1.8542213,-0.021898424,0.8822593,-0.3587487,-0.407512,-3.210315,0.5090623,0.2269285,-0.27056384,0.45492613,-0.2087613,-0.8998219,-4.396056,-12.252654,0.027299654,1.450499,0.19919227,2.5560174,-2.386983,-0.53757125,0.19286303,1.1100744,1.5324141,-0.34475073,-0.3655485,2.8289301,-0.7718497,1.1618862
-1.6141803,0.96027637,13.061859,16.420454,-1.1526216,0.85004795,20.797216,-4.9042125,-1.0439745,-1.8732057,-4.1626043,-2.6086695,-4.153704,-1.7831044,-1.312939,0.70220953,5.3011656,-0.19819544,2.6120322,0.76753443,3.5677423,-0.5990586,2.278278,-2.9229684,2.2269592,1.7257195,-0.13430028,-2.1334095,-2.6421723,-2.359961
-4.0675898,-3.208796,-3.0607264,-1.4005004,-3.6187832,-0.438486,-0.26311198,0.028924918,-0.15353951,-0.5981618,-0.3711014,2.57976,-0.9290303,-0.3822758,-0.55753446,0.8925503,2.5012796,-0.7508395,1.3611965,-0.012621781,0.7884758,-0.20569907,1.1140552,-1.3138853,0.8608766,-0.33251655,-1.0750208,0.97147435,0.24127567,-0.84266144
